a/d,b0/d,w/b,d_g/d_g0,f_c',p,f_y/f_c,V_f,k_f,r_f,a_f,F,t_p,,
8.45,10,0.4,1.25,34.48,0.37%,13.34106729,0,0,0,0.0 ,0.0 ,1.365,,
8.45,10,0.4,1.25,37.04,0.37%,12.41900648,1,0.6,0.650887574,100.0 ,60.0 ,2.11,,
8.45,8,0.4,1.25,36.64,0.56%,12.55458515,0,0,0.650887574,0.0 ,0.0 ,1.87875,,
8.45,8,0.4,1.25,35.6,0.56%,12.92134831,1,0.6,0.650887574,100.0 ,60.0 ,2.7075,,
8.45,12,0.4,1.25,36.4,0.56%,12.63736264,0,0,0,0.0 ,0.0 ,1.595,,
8.45,10,0.4,1.25,33.48,0.56%,13.739546,1,0.8,0.650887574,100.0 ,80.0 ,2.355,,
8.45,10,0.4,1.25,34.984,0.56%,13.14886805,1,0.6,0.650887574,69.7 ,41.8 ,2.395,,
8.45,10,0.4,0.375,31.24,0.56%,14.72471191,1,0.6,0.650887574,89.4 ,53.6 ,2.38,,
8.45,10,0.4,1.25,27.92,0.56%,16.4756447,1,0.6,0.650887574,69.7 ,41.8 ,2.278,,
8.45,10,0.4,1.25,14.2,0.56%,32.3943662,1,0.6,0.650887574,69.7 ,41.8 ,1.66,,
13.26315789,8.210526316,0.4,2.5,33.4 ,1.55%,11.98658519,0,0,1,0.0 ,0.0 ,2.977493031,,
13.26315789,8.210526316,0.4,2.5,39.0 ,1.55%,10.25001278,0,0,1,0.0 ,0.0 ,3.721866289,,
13.26315789,8.210526316,0.4,2.5,31.0 ,1.55%,12.89223829,0,0,1,0.0 ,0.0 ,2.679743728,,
13.26315789,8.210526316,0.4,2.5,31.7 ,1.55%,12.61197224,0,0,1,0.0 ,0.0 ,3.126367683,,
13.26315789,8.210526316,0.4,2.5,34.5 ,1.55%,11.60301446,0.61,0.6,1,127.0 ,46.5 ,3.126367683,,
13.26315789,8.210526316,0.4,2.5,37.2 ,1.55%,10.74353191,0.61,0.6,1,127.0 ,46.5 ,3.721866289,,
13.26315789,8.210526316,0.4,2.5,29.6 ,1.55%,13.49187728,0.61,0.6,1,127.0 ,46.5 ,2.381994425,,
13.26315789,8.210526316,0.4,2.5,37.6 ,1.55%,10.62547112,0.92,0.6,1,127.0 ,70.1 ,3.572991638,,
13.26315789,8.210526316,0.4,2.5,46.7 ,1.55%,8.556795327,1.22,0.6,1,127.0 ,93.0 ,4.466239547,,
13.26315789,8.210526316,0.4,2.5,36.5 ,1.55%,10.94624006,1.22,0.6,1,127.0 ,93.0 ,3.870740941,,
13.26315789,8.210526316,0.4,2.5,22.3 ,1.55%,17.90588652,1.84,0.6,1,127.0 ,140.2 ,3.275242334,,
13.26315789,8.210526316,0.4,2.5,22.1 ,1.55%,18.1297101,1.93,0.6,1,127.0 ,147.1 ,3.424116986,,
13.62072919,22.34441642,0.4,0.625,46.2,1.05%,12.12121212,0.31,0.8,1,60.0 ,14.9 ,2.014339063,,
20.45402431,22.34441642,0.4,0.625,45.8,0.70%,12.22707424,0.31,0.8,1,60.0 ,14.9 ,2.127292656,,
27.24145838,22.34441642,0.4,0.625,47.2,0.70%,11.86440678,0.31,0.8,1,60.0 ,14.9 ,1.779019079,,
20.45402431,22.34441642,0.4,0.625,40.3,0.70%,13.89578164,0.5,0.8,1,60.0 ,24.0 ,1.967275066,,
20.45402431,22.34441642,0.4,0.625,40.7,0.70%,13.75921376,1,0.8,1,60.0 ,48.0 ,2.230833449,,
20.45402431,22.34441642,0.4,0.625,39.7,0.70%,14.10579345,1.5,0.8,1,60.0 ,72.0 ,2.315548643,,
20.45402431,22.34441642,0.4,0.625,47.8,0.70%,11.71548117,2,0.8,1,60.0 ,96.0 ,2.579107025,,
32.54049321,33.18429885,0.4,0.625,46.9,1.11%,11.94029851,0.31,0.8,1,60.0 ,14.9 ,1.507904207,,
12.55948861,15.26411534,0.4,0.625,46.1,0.43%,12.14750542,0.31,0.8,1,60.0 ,14.9 ,2.852166671,,
10.22701215,13.17220821,0.5,0.625,48.4,0.35%,11.57024793,0.31,0.8,1,60.0 ,14.9 ,2.814222019,,
20.45402431,22.34441642,0.3,0.625,37.6,0.70%,14.89361702,0.31,0.8,1,60.0 ,14.9 ,1.788431879,,
20.45402431,22.34441642,0.4,0.625,60.6,0.70%,9.240924092,0.31,0.8,1,60.0 ,14.9 ,1.882559872,,
20.45402431,40.68883284,0.4,0.625,41.4,0.70%,13.52657005,0.31,0.8,1,60.0 ,14.9 ,1.349127805,,
20.45402431,31.51662463,0.4,0.625,39.8,0.70%,14.07035176,0.31,0.8,1,60.0 ,14.9 ,1.247928564,,
7.820512821,14.25641026,0.4,0.625,29.6 ,1.49%,16.92567568,0,0,1,0.0 ,0.0 ,2.711676812,,
7.820512821,14.25641026,0.4,0.625,30.0 ,1.49%,16.7,0.45,0.8,1,100.0 ,36.0 ,2.933038185,,
7.820512821,14.25641026,0.4,0.625,24.6 ,1.49%,20.36585366,1,0.8,1,60.0 ,48.0 ,2.983766833,,
5.545454545,11.27272727,0.4,0.625,31.4 ,1.59%,15.95541401,0,0,1,0.0 ,0.0 ,2.692082111,,
5.545454545,11.27272727,0.4,0.625,31.4 ,1.59%,15.95541401,0.45,0.8,1,100.0 ,36.0 ,3.105571848,,
5.545454545,11.27272727,0.4,0.625,31.8 ,1.59%,15.75471698,0.8,0.8,1,100.0 ,64.0 ,3.17888563,,
5.545454545,11.27272727,0.4,0.625,29.1 ,1.59%,17.21649485,1,0.8,1,60.0 ,48.0 ,3.190615836,,
5.545454545,11.27272727,0.4,0.625,29.2 ,1.59%,17.15753425,2,0.8,1,60.0 ,96.0 ,3.944281525,,
9.174311927,12.25688073,0.5,1.25,30.0 ,1.11%,14.46666667,0,0,1,60.0 ,0.0 ,2.101301983,,
9.174311927,12.25688073,0.5,1.25,30.0 ,2.15%,14.46666667,0,0,1,60.0 ,0.0 ,2.396582981,,
9.174311927,12.25688073,0.5,1.25,41.5 ,1.11%,10.45783133,0.5,0.8,1,60.0 ,24.0 ,2.897873977,,
9.174311927,12.25688073,0.5,1.25,41.5 ,2.15%,10.45783133,0.5,0.8,1,60.0 ,24.0 ,3.007745976,,
10.36866359,6.764976959,0.116,0.0375,221.3 ,0.00%,0,2,0.4,1,60.0 ,48.0 ,5.043001705,,
9.698275862,7.448275862,0.116,0.0375,221.3 ,0.00%,0,2,0.4,1,60.0 ,48.0 ,4.677956342,,
10.61320755,5.886792453,0.116,0.0375,221.3 ,0.00%,0,2,0.4,1,60.0 ,48.0 ,5.889480338,,
8.620689655,7.0651341,0.116,0.0375,221.3 ,0.00%,0,2,0.4,1,60.0 ,48.0 ,4.727499583,,
8.858267717,6.362204724,0.116,0.0375,221.3 ,0.00%,0,2,0.4,1,60.0 ,48.0 ,5.123228777,,
7.950530035,6.120141343,0.116,0.0375,221.3 ,0.00%,0,2,0.4,1,60.0 ,48.0 ,4.951392148,,
7.425742574,5.320132013,0.116,0.0375,221.3 ,0.00%,0,2,0.4,1,60.0 ,48.0 ,5.660511669,,
23.33333333,10.66666667,0.23,0.0375,126.6,0.00%,0,1.5,0.4,1,92.2 ,55.3 ,4.394791667,,
17.5,9,0.23,0.0375,126.6,0.00%,0,1.5,0.4,1,92.2 ,55.3 ,4.795138889,,
14,8,0.23,0.0375,126.6,0.00%,0,1.5,0.4,1,92.2 ,55.3 ,5.947,,
11.66666667,7.333333333,0.23,0.0375,126.6,0.00%,0,1.5,0.4,1,92.2 ,55.3 ,6.090909091,,
17.5,9,0.23,0.0375,124.4,0.00%,0,1,0.4,1,92.2 ,36.9 ,4.975694444,,
17.5,9,0.23,0.0375,120.9,0.00%,0,0.5,0.4,1,92.2 ,18.4 ,3.495138889,,
6,12,0.4,1.25,21.6,0.73%,23.47222222,0,0,1,0.0 ,0.0 ,1.566666667,,
6,12,0.4,1.25,20,1.09%,25.35,0,0,1,0.0 ,0.0 ,1.683333333,,
6,12,0.4,1.25,74,1.49%,6.364864865,0,0,1,0.0 ,0.0 ,2.758333333,,
6,12,0.4,1.25,75,1.49%,6.28,0,0,1,0.0 ,0.0 ,3.091666667,,
6,12,0.4,1.25,63.7,2.26%,7.394034537,0,0,1,0.0 ,0.0 ,3.375,,
6,12,0.4,1.25,74.7,2.26%,6.305220884,0,0,1,0.0 ,0.0 ,4.075,,
6,12,0.4,1.25,19.6,0.73%,25.86734694,1,0.8,1,100.0 ,80.0 ,2.216666667,,
6,12,0.4,1.25,19.3,1.09%,26.26943005,1,0.8,1,100.0 ,80.0 ,2.041666667,,
6,12,0.4,1.25,81.3,1.49%,5.793357934,1,0.8,1,100.0 ,80.0 ,4.8,,
6,12,0.4,1.25,79.3,2.26%,5.939470366,1,0.8,1,100.0 ,80.0 ,5.758333333,,
7.954545455,13.09090909,0.5,0.59375,35.36,1.61%,18.9479638,0.5,0.4,1,133.3 ,26.7 ,3.531407828,,
7.954545455,13.09090909,0.34,0.59375,49.14,1.61%,13.63451363,0.5,0.4,1,133.3 ,26.7 ,4.044349747,,
7.954545455,13.09090909,0.32,0.59375,55.06,1.61%,12.16854341,0.5,0.4,1,133.3 ,26.7 ,5.109690657,,
7.954545455,13.09090909,0.28,0.59375,65.13,1.61%,10.28711807,0.5,0.4,1,133.3 ,26.7 ,5.56344697,,
7.954545455,13.09090909,0.34,0.59375,42.19,1.61%,15.88054041,0,0,1,0.0 ,0.0 ,3.681344697,,
7.954545455,13.09090909,0.34,0.59375,48.76,1.61%,13.74077112,0.25,0.4,1,133.3 ,13.3 ,3.866792929,,
7.954545455,13.09090909,0.34,0.59375,52.38,1.61%,12.79114166,0.75,0.4,1,133.3 ,40.0 ,4.951862374,,
7.954545455,13.09090909,0.34,0.59375,53.26,1.61%,12.57979722,1,0.4,1,133.3 ,53.3 ,5.445075758,,
7.954545455,13.09090909,0.34,0.59375,49.18,1.61%,13.62342416,0.5,0.4,1,50.0 ,10.0 ,3.866792929,,
7.954545455,13.09090909,0.34,0.59375,49.18,1.61%,13.62342416,0.5,0.4,1,66.7 ,13.3 ,3.945707071,,
7.954545455,13.09090909,0.34,0.59375,52.79,1.61%,12.69179769,0.5,0.4,1,83.3 ,16.7 ,4.636205808,,
7.954545455,13.09090909,0.34,0.59375,49.45,1.61%,13.54903943,0.5,0.4,1,100.0 ,20.0 ,4.340277778,,
7.954545455,10.81818182,0.34,0.59375,51.08,1.61%,13.11667972,0.5,0.4,1,133.3 ,26.7 ,4.225553858,,
7.954545455,17.63636364,0.34,0.59375,50.8,1.61%,13.18897638,0.5,0.4,1,133.3 ,26.7 ,3.953842549,,
1.655172414,6.75862069,0.5,0.625,44.9,0.49%,9.220489978,0,0,1,0.0 ,0.0 ,2.695285011,,
2.181818182,7.636363636,0.35,0.0375,69.6,0.65%,5.948275862,2,1,1,100.0 ,200.0 ,8.214285714,,
6.4375,8,0.65,0.39375,23.1,1.51%,17.31601732,0,0,1,0.0 ,0.0 ,2.6796875,,
6.4375,8,0.65,0.39375,24.4,1.51%,16.39344262,1,0.8,1,54.5 ,43.6 ,2.7265625,,
6.4375,8,0.65,0.39375,28.1,1.51%,14.23487544,2,0.8,1,54.5 ,87.3 ,3.1953125,,
6.4375,8,0.34,0.39375,57,1.51%,7.01754386,0,0,1,0.0 ,0.0 ,3.767578125,,
6.4375,8,0.34,0.39375,59.7,1.51%,6.700167504,1,0.8,1,54.5 ,43.6 ,4.201171875,,
6.4375,8,0.34,0.39375,52.4,1.51%,7.633587786,2,0.8,1,54.5 ,87.3 ,4.61328125,,
6.4375,8,0.34,0.39375,43.7,1.51%,9.153318078,0,0,1,0.0 ,0.0 ,3.447265625,,
6.4375,8,0.34,0.39375,36.6,1.51%,10.92896175,0.75,0.8,1,47.6 ,28.6 ,3.564453125,,
6.4375,8,0.34,0.39375,46.1,1.51%,8.676789588,1.5,0.8,1,47.6 ,57.1 ,4.119140625,,
10,6.857142857,0.2,0.0375,194,0,0,2,0.4,1,65.0 ,52.0 ,6.508928571,,
17.5,9,0.2,0.0375,194,0,0,2,0.4,1,65.0 ,52.0 ,5.416666667,,
6,12,0.4,1.25,17.44,0.98%,22.93577982,0,0.4,0,0.0 ,0.0 ,2.125,,
6,12,0.4,1.25,19.68,0.98%,20.32520325,1,0.4,1,45.0 ,18.0 ,2.416666667,,
6,12,0.4,1.25,20.16,0.98%,19.84126984,1.5,0.4,1,45.0 ,27.0 ,2.625,,
6,12,0.4,1.25,15.04,0.98%,26.59574468,1,0.4,1,45.0 ,18.0 ,2.375,,
6,12,0.4,1.25,14.88,0.98%,26.88172043,1.5,0.4,1,45.0 ,27.0 ,2.583333333,,
5.681102362,8.787401575,0.4,0.8125,47.7,0.98%,9.874213836,0,0,0,0.0 ,0.0 ,3.055061666,,
5.681102362,8.787401575,0.4,0.8125,47.7,0.66%,9.874213836,0,0,0,0.0 ,0.0 ,2.674060904,,
5.681102362,8.787401575,0.49,0.8125,25.4,0.98%,17.91338583,1,0.8,1,54.5 ,43.6 ,2.723449891,,
5.681102362,8.787401575,0.49,0.8125,25.4,0.66%,17.91338583,1,0.8,1,54.5 ,43.6 ,2.7446166,,
5.681102362,8.787401575,0.49,0.8125,59.3,0.98%,7.942664418,1.5,0.8,0.526680527,70.0 ,84.0 ,3.739451923,,
5.681102362,8.787401575,0.49,0.8125,57.9,0.66%,8.134715026,1.5,0.8,0.526680527,70.0 ,84.0 ,3.132672932,,
5.681102362,8.787401575,0.49,0.8125,31,0.98%,14.48387097,1.5,0.8,1,54.5 ,65.5 ,3.683007366,,
5.681102362,8.787401575,0.49,0.8125,31,0.66%,14.48387097,1.5,0.8,1,54.5 ,65.5 ,3.330228883,,
5.681102362,8.787401575,0.49,0.8125,46.1,0.98%,9.739696312,1.5,0.8,0.526680527,78.9 ,94.7 ,3.739451923,,
5.681102362,8.787401575,0.48,0.8125,59.1,0.66%,7.597292724,1.5,0.8,0.526680527,78.9 ,94.7 ,3.548951542,,
8.904719501,12.01424755,0.4,1.25,35.3,1.34%,18.86685552,0,0,0,0.0 ,0.0 ,1.854599896,,
8.904719501,12.01424755,0.4,1.25,30.8,1.34%,21.62337662,0.5,0.8,1,60.0 ,24.0 ,1.953599891,,
7.142857143,9.714285714,0.57,1.25,24.6,0.85%,15.32520325,0.67,0.8,1,48.4 ,25.9 ,2.888655462,,
4.545454545,7.636363636,0.57,1.25,24.6,0.54%,15.32520325,0.67,0.8,1,48.4 ,25.9 ,2.274891775,,
3.333333333,6.666666667,0.57,1.25,24.6,0.40%,15.32520325,0.67,0.8,1,48.4 ,25.9 ,1.984,,
7.692307692,10.15384615,0.53,1.25,42.4,0.91%,8.891509434,0.72,0.8,1,48.4 ,27.9 ,3.282051282,,
4.761904762,7.80952381,0.53,1.25,42.4,0.57%,8.891509434,0.72,0.8,1,48.4 ,27.9 ,2.476190476,,
3.448275862,6.75862069,0.53,1.25,42.4,0.41%,8.891509434,0.72,0.8,1,48.4 ,27.9 ,2.045742435,,
7.692307692,10.15384615,0.53,1.25,21.6,0.91%,17.4537037,0.91,0.8,1,48.4 ,35.2 ,2.815850816,,
4.761904762,7.80952381,0.53,1.25,21.6,0.57%,17.4537037,0.91,0.8,1,48.4 ,35.2 ,2.12659698,,
3.448275862,6.75862069,0.53,1.25,21.6,0.41%,17.4537037,0.91,0.8,1,48.4 ,35.2 ,1.627023223,,
7.142857143,9.714285714,0.57,1.25,27.8,0.85%,13.56115108,0.63,0.8,1,48.4 ,24.4 ,3.199579832,,
7.142857143,9.714285714,0.57,1.25,31.1,0.85%,12.1221865,0.94,0.8,1,48.4 ,36.4 ,3.107142857,,
7.142857143,9.714285714,0.57,1.25,30.4,0.85%,12.40131579,1.03,0.8,1,48.4 ,39.9 ,3.338235294,,
5,11.61904762,0.4,1.375,21.68,0.83%,22.69372694,0,0.8,1,80.0 ,0.0 ,2.217017955,,
5,11.61904762,0.4,1.375,22.32,0.83%,22.04301075,0.38,0.8,1,80.0 ,24.3 ,2.576112412,,
5,11.61904762,0.4,1.375,23.36,0.83%,21.06164384,0.57,0.8,1,80.0 ,36.5 ,2.693208431,,
5,11.61904762,0.4,1.375,25.28,0.83%,19.46202532,0.76,0.8,1,80.0 ,48.6 ,3.099141296,,
6.428571429,11.61904762,0.4,1.375,21.68,0.83%,22.69372694,0,0.8,1,80.0 ,0.0 ,2.349726776,,
6.428571429,11.61904762,0.4,1.375,22.32,0.83%,22.04301075,0.38,0.8,1,80.0 ,24.3 ,2.56049961,,
6.428571429,11.61904762,0.4,1.375,23.36,0.83%,21.06164384,0.57,0.8,1,80.0 ,36.5 ,2.630757221,,
6.428571429,11.61904762,0.4,1.375,25.28,0.83%,19.46202532,0.76,0.8,1,80.0 ,48.6 ,2.708821233,,
7.857142857,11.61904762,0.4,1.375,21.68,0.83%,22.69372694,0,0.8,1,80.0 ,0.0 ,2.06088993,,
7.857142857,11.61904762,0.4,1.375,22.32,0.83%,22.04301075,0.38,0.8,1,80.0 ,24.3 ,2.396565183,,
7.857142857,11.61904762,0.4,1.375,23.36,0.83%,21.06164384,0.57,0.8,1,80.0 ,36.5 ,2.419984387,,
7.857142857,11.61904762,0.4,1.375,25.28,0.83%,19.46202532,0.76,0.8,1,80.0 ,48.6 ,2.544886807,,
11.84210526,9.263157895,0.45,0.3125,37.5,0.37%,10.53333333,0,0,0,0.0 ,0.0 ,3.924940191,,
7.894736842,7.50877193,0.45,0.3125,37.5,0.32%,11.6,0,0,0,0.0 ,0.0 ,2.766847024,,
11.84210526,9.263157895,0.45,0.3125,37.5,0.74%,10.53333333,0,0,0,0.0 ,0.0 ,4.298744019,,
7.894736842,7.50877193,0.45,0.3125,37.5,0.64%,11.6,0,0,0,0.0 ,0.0 ,4.426955239,,
11.84210526,9.263157895,0.144,0.0375,75,0.74%,5.266666667,0,0,0,0.0 ,0.0 ,6.05562201,,
11.84210526,9.263157895,0.144,0.0375,75,0.37%,5.266666667,0,0,0,0.0 ,0.0 ,5.457535885,,
7.894736842,7.50877193,0.144,0.0375,75,0.64%,5.8,0,0,0,0.0 ,0.0 ,6.148548942,,
7.894736842,7.50877193,0.144,0.0375,75,0.32%,5.8,0,0,0,0.0 ,0.0 ,4.30398426,,
7.894736842,7.50877193,0.144,0.0375,100.8,0.32%,4.31547619,1,0.8,1,80.0 ,64.0 ,5.943597311,,
7.894736842,7.50877193,0.144,0.0375,100.8,0.64%,4.31547619,1,0.8,1,80.0 ,64.0 ,7.583210362,,
11.84210526,9.263157895,0.144,0.0375,100.8,0.74%,3.918650794,1,0.8,1,80.0 ,64.0 ,7.326555024,,
11.84210526,9.263157895,0.144,0.0375,100.8,0.37%,3.918650794,1,0.8,1,80.0 ,64.0 ,6.354665072,,
7.894736842,7.50877193,0.144,0.0375,118,0.64%,3.686440678,2,0.8,1,80.0 ,128.0 ,10.04262994,,
11.84210526,9.263157895,0.144,0.0375,118,0.74%,3.347457627,2,0.8,1,80.0 ,128.0 ,10.27960526,,
11.84210526,9.263157895,0.144,0.0375,118,0.37%,3.347457627,2,0.8,1,80.0 ,128.0 ,7.102272727,,
7.894736842,7.50877193,0.144,0.0375,118,0.32%,3.686440678,2,0.8,1,80.0 ,128.0 ,7.788161994,,
7.894736842,7.50877193,0.144,0.3125,105.3,0.64%,4.131054131,2,0.8,1,80.0 ,128.0 ,9.222823414,,
7.894736842,7.50877193,0.144,0.3125,105.3,0.32%,4.131054131,2,0.8,1,80.0 ,128.0 ,6.599442532,,
11.84210526,9.263157895,0.144,0.3125,105.3,0.74%,3.751187085,2,0.8,1,80.0 ,128.0 ,9.718899522,,
11.84210526,9.263157895,0.144,0.3125,105.3,0.37%,3.751187085,2,0.8,1,80.0 ,128.0 ,6.429425837,,
6.666666667,14.66666667,0.4,1.25,50.8,1.05%,10.23622047,0,0,0,0.0 ,0.0 ,2.660606061,,
6.666666667,14.66666667,0.4,1.25,48.4,1.05%,10.74380165,0,0,0,0.0 ,0.0 ,2.509090909,,
6.666666667,14.66666667,0.4,1.25,48.4,1.05%,10.74380165,0.5,0.8,1,66.7 ,26.7 ,3.651515152,,
6.666666667,14.66666667,0.4,1.25,48.4,1.05%,10.74380165,0.5,0.8,1,66.7 ,26.7 ,3.254545455,,
6.242038217,9.095541401,0.175,0.0375,198.5,2.01%,6.649874055,0,0,0,0.0 ,0.0 ,3.757426537,,
6.242038217,9.095541401,0.175,0.0375,198.9,2.01%,6.636500754,0.5,0.4,1,80.0 ,16.0 ,4.792235365,,
6.242038217,9.095541401,0.175,0.0375,208.2,2.01%,6.340057637,1.1,0.4,1,80.0 ,35.2 ,6.860068868,,
6.202531646,9.063291139,0.61,1,40.3,1.99%,13.94540943,0,0,0,0.0 ,0.0 ,2.993069797,,
6.242038217,9.095541401,0.175,0.0375,198.9,1.00%,6.636500754,0.5,0.4,1,80.0 ,16.0 ,4.422915663,,
13.61111111,15.11111111,0.175,0.0375,199.2,1.99%,7.881526104,0.5,0.4,1,80.0 ,16.0 ,6.326593137,,
6.202531646,9.063291139,0.175,0.0375,198.2,1.99%,2.835519677,0.5,0.4,1,80.0 ,16.0 ,5.652004809,,
6.666666667,14.66666667,0.36,1,46.848,1.05%,11.09972678,0.38,0.8,1,100.0 ,30.4 ,2.612121212,,
6.666666667,14.66666667,0.35,0.25,42.216,1.05%,12.3176047,0.38,0.8,1,100.0 ,30.4 ,4.103030303,,
9.375,9.424777961,0.21,0.0375,97.8,2.83%,4.08997955,0.8,0.4,1,65.0 ,20.8 ,8.085071109,,
9.375,9.424777961,0.21,0.0375,98.5,2.83%,4.060913706,0.8,0.4,1,65.0 ,20.8 ,7.17987737,,
9.375,9.424777961,0.21,0.0375,87.8,2.83%,4.555808656,0.8,0.4,1,65.0 ,20.8 ,8.3423716,,
9.375,9.424777961,0.21,0.0375,99,2.83%,4.04040404,1.6,0.4,1,65.0 ,41.6 ,9.784713272,,
9.375,9.424777961,0.21,0.0375,86.8,2.83%,4.608294931,1.6,0.4,1,65.0 ,41.6 ,11.20052912,,
9.375,9.424777961,0.21,0.0375,96.5,2.83%,4.14507772,1.6,0.4,1,65.0 ,41.6 ,9.484971463,,
9.375,9.424777961,0.21,0.0375,91.4,2.83%,4.376367615,0,0,0,0.0 ,0.0 ,5.789924201,,
7.352941176,5.470588235,0.45,0.8,54.96,0.76%,9.716157205,0,0,0,0.0 ,0.0 ,3.804949399,,
7.8125,5.5625,0.45,0.8,55.68,1.50%,9.500718391,0,0,0,0.0 ,0.0 ,5.574087079,,
7.407407407,5.481481481,0.45,0.8,47.36,0.76%,11.27533784,1,0.4,1,63.6 ,25.5 ,5.955955956,,
7.8125,5.5625,0.45,0.8,45.36,1.50%,11.6622575,1,0.4,1,63.6 ,25.5 ,7.39554073,,
7.8125,5.5625,0.45,0.8,46.08,1.50%,11.48003472,1.5,0.4,1,63.6 ,38.2 ,7.768609551,,
7.692307692,10.83760684,0.4,1.25,80,0.92%,7.3125,0,0,1,0.0 ,0.0 ,2.57286527,,
7.692307692,10.83760684,0.4,1.25,89,0.92%,6.573033708,0.3,1,1,66.7 ,20.0 ,3.107390331,,
7.692307692,10.83760684,0.4,1.25,87,0.92%,6.724137931,0.6,1,1,66.7 ,40.0 ,3.747741918,,
7.692307692,10.83760684,0.4,1.25,90,0.92%,6.5,0.9,1,1,66.7 ,60.0 ,4.570088166,,
7.692307692,10.83760684,0.4,1.25,100,0.92%,5.85,1.2,1,1,66.7 ,80.0 ,4.927336946,,
7.894736842,11.01754386,0.4,1.25,80,1.47%,7.1875,0,0,1,0.0 ,0.0 ,2.66999106,,
7.894736842,11.01754386,0.4,1.25,89,1.47%,6.460674157,0.3,1,1,66.7 ,20.0 ,3.254553581,,
7.894736842,11.01754386,0.4,1.25,87,1.47%,6.609195402,0.6,1,1,66.7 ,40.0 ,4.099620069,,
7.894736842,11.01754386,0.4,1.25,90,1.47%,6.388888889,0.9,1,1,66.7 ,60.0 ,5.629120572,,
7.894736842,11.01754386,0.4,1.25,100,1.47%,5.75,1.2,1,1,66.7 ,80.0 ,6.823388088,,
6.4,10.4,0.54,1.25,24,1.19%,16.66666667,0,0,0,0.0 ,0.0 ,1.692307692,,
6.4,10.4,0.54,1.25,24,1.19%,16.66666667,0.5,0.6,0.28125,80.6 ,24.2 ,1.846153846,,
6.4,10.4,0.54,1.25,24,1.19%,16.66666667,1,0.6,0.28125,80.6 ,48.4 ,1.969230769,,
